""2019-07-10 08:41:35 - Tomcat started on port(s): 8081 (http) with context path '/defectservices'
""2019-07-10 08:41:35 - Started DefectTrackerApplication in 1.243 seconds (JVM running for 134.939)
""2019-07-10 08:41:35 - Condition evaluation unchanged
""2019-07-10 08:42:50 - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2019-07-10 08:42:50 - Initializing Servlet 'dispatcherServlet'
""2019-07-10 08:42:50 - Completed initialization in 5 ms
""2019-07-10 08:43:26 - SubModulecontroller -> updatedmodule
""2019-07-10 08:43:47 - SubModulecontroller -> updatedmodule
""2019-07-10 08:44:46 - Modulecontroller -> updatedModule
""2019-07-10 08:46:12 - Modulecontroller -> updatedModule
""2019-07-10 08:46:42 - Modulecontroller -> updatedModule
""2019-07-10 08:46:56 - Modulecontroller -> updatedModule
""2019-07-10 08:47:45 - Modulecontroller -> updatedModule
""2019-07-10 08:48:03 - Modulecontroller -> updatedModule
""2019-07-10 08:48:03 - HHH000346: Error during managed flush [org.hibernate.TransientPropertyValueException: object references an unsaved transient instance - save the transient instance before flushing : com.sgic.internal.defecttracker.project.entities.Module.project -> com.sgic.internal.defecttracker.project.entities.Project]
""2019-07-10 08:48:03 - Servlet.service() for servlet [dispatcherServlet] in context with path [/defectservices] threw exception [Request processing failed; nested exception is org.springframework.dao.InvalidDataAccessApiUsageException: org.hibernate.TransientPropertyValueException: object references an unsaved transient instance - save the transient instance before flushing : com.sgic.internal.defecttracker.project.entities.Module.project -> com.sgic.internal.defecttracker.project.entities.Project; nested exception is java.lang.IllegalStateException: org.hibernate.TransientPropertyValueException: object references an unsaved transient instance - save the transient instance before flushing : com.sgic.internal.defecttracker.project.entities.Module.project -> com.sgic.internal.defecttracker.project.entities.Project] with root cause
